OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
6829,8_1663,20160622,8,1663,GTA.MARIANO SALVADOR MAELLA,,S,,,,,,U,28,079,07901,,11782,Gta,de,Mariano Salvador Maella,N,1,,,28035,08,024,083,T079916723,,,7,A,1,079-08-175,175,,559-1,2,3,20150519,20150519,,438979,4481062,N,,GTA.MARIANO SALVADOR MAELLA,,1663
6830,8_1664,20160622,8,1664,GTA.MARIANO SALVADOR MAELLA,,S,,,,,,U,28,079,07901,,11782,Gta,de,Mariano Salvador Maella,N,1,,,28035,08,148,083,T0792002,,,7,A,1,079-08-176,176,,559-1,2,3,20150519,20150519,,438932,4480989,N,,GTA.MARIANO SALVADOR MAELLA,,1664
6831,8_1786,20160622,8,1786,MONFORTE DE LEMOS Nº 163,,S,,,,93,296,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,163,,,28029,08,073,084,T0791823,,,7,A,1,079-08-178,178,,559-1,2,3,20150519,20150519,,439529,4481158,N,,MONFORTE DE LEMOS Nº 163,,1786
6832,8_3287,20160622,8,3287,MONFORTE DE LEMOS Nº 169,,S,,,,93,296,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,172,,,28029,08,048,084,T0791708,,,7,A,1,079-08-178,178,,559-1,2,3,20150519,20150519,,439471,4481174,N,,MONFORTE DE LEMOS Nº 169,,3287
6833,8_1366,20160622,8,1366,MONFORTE DE LEMOS-JUNTA MUNICIPAL,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,115,B,,28029,08,077,084,T0791711,,,7,A,1,079-08-183,183,,559-1,2,3,20150519,20150519,,440038,4481300,N,,MONFORTE DE LEMOS-JUNTA MUNICIPAL,,1366
6834,8_1367,20160622,8,1367,MONFORTE DE LEMOS-JUNTA MUNICIPAL,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,115,B,,28029,08,045,084,T0791559,,,7,A,1,079-08-182,182,,559-1,2,3,20150519,20150519,,440024,4481324,N,,MONFORTE DE LEMOS-JUNTA MUNICIPAL,,1367
6835,8_1368,20160622,8,1368,MONFORTE DE LEMOS-LA VAGUADA,,S,,,,93,156,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,101,,,28029,08,078,084,T0791638,,,7,A,1,079-08-183,183,,559-1,2,3,20150519,20150519,,440363,4481386,N,,MONFORTE DE LEMOS-LA VAGUADA,,1368
6836,8_1737,20160622,8,1737,MONFORTE DE LEMOS-PARQUE BOMBEROS,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,75,,,28029,08,093,085,T0791595,,,7,A,1,079-08-197,197,,559-1,2,3,20150519,20150519,,440732,4481463,N,,MONFORTE DE LEMOS-PARQUE BOMBEROS,,1737
6837,8_1735,20160622,8,1735,MONFORTE DE LEMOS-PUENTECESURES,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,19,,,28029,08,095,085,T0791606,,,7,A,1,079-08-197,197,,559-1,2,3,20150519,20150519,,441029,4481425,N,,MONFORTE DE LEMOS-PUENTECESURES,,1735
6838,8_1733,20160622,8,1733,MONFORTE DE LEMOS-PARQUE NORTE,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,8,,,28029,08,098,085,T0791625,,,7,A,1,079-08-199,199,,559-1,2,3,20150519,20150519,,441357,4481380,N,,MONFORTE DE LEMOS-PARQUE NORTE,,1733
