OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
6001,6,350723,517,N17,1,1,460,*,,3,TI,I,Pº PRADO-PZA.PLATERIA MTNEZ.,28,079,MADRID,A,Paseo del Prado N 22,20131003,20131001,,321.142,13.36,6,_,,,6_N_517_____1_IT_1_6_460_*__TI_I_3,,,,6_N_517___,6_N_517_____1_IT_1,6_460,6_460_*,6_460_
6002,6,350763,525,N25,1,1,460,*,,8,TI,I,Pº PRADO-PZA.PLATERIA MTNEZ.,28,079,MADRID,A,Paseo del Prado N 22,20131010,20131001,,321.142,0,6,_,,,6_N_525_____1_IT_1_6_460_*__TI_I_8,,1,,6_N_525___,6_N_525____1_1_IT_1,6_460,6_460_*,6_460_
6003,6,350703,515,N15,1,1,460,*,,3,TI,I,Pº PRADO-PZA.PLATERIA MTNEZ.,28,079,MADRID,A,Paseo del Prado N 22,20131001,20131001,,321.142,30,6,_,,,6_N_515_____1_IT_1_6_460_*__TI_I_3,,,,6_N_515___,6_N_515_____1_IT_1,6_460,6_460_*,6_460_
6004,6,351604,526,N26,1,1,460,*,,7,TI,I,Pº PRADO-PZA.PLATERIA MTNEZ.,28,079,MADRID,A,Paseo del Prado N 22,20140204,20140113,,321.142,0,6,_,,,6_N_526_____1_IT_1_6_460_*__TI_I_7,,-,,6_N_526___,6_N_526____-_1_IT_1,6_460,6_460_*,6_460_
6005,6,352421,034,34,1,1,460,*,,3,TI,I,Pº PRADO-PZA.PLATERIA MTNEZ.,28,079,MADRID,A,Paseo del Prado N 22,19991221,20140526,,321.142,30,6,_,,,6__34_____1_IT_1_6_460_*__TI_I_3,,,,6__34___,6__34_____1_IT_1,6_460,6_460_*,6_460_
6006,6,352424,045,45,2,1,460,*,,22,TI,I,Pº PRADO-PZA.PLATERIA MTNEZ.,28,079,MADRID,A,Paseo del Prado N 22,20140211,20140526,,321.142,0,6,_,,,6__45_____2_IT_1_6_460_*__TI_I_22,,-,,6__45___,6__45____-_2_IT_1,6_460,6_460_*,6_460_
6007,6,331503,510,N10,1,1,461,*,,4,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20021017,20021013,,295.756,30,6,_,,,6_N_510_____1_IT_1_6_461_*__TI_I_4,,,,6_N_510___,6_N_510_____1_IT_1,6_461,6_461_*,6_461_
6008,6,332543,511,N11,1,1,461,*,,4,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20031204,20040101,,295.756,30,6,_,,,6_N_511_____1_IT_1_6_461_*__TI_I_4,,,,6_N_511___,6_N_511_____1_IT_1,6_461,6_461_*,6_461_
6009,6,334293,513,N13,1,1,461,*,,4,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20051121,20051121,,295.756,13.36,6,_,,,6_N_513_____1_IT_1_6_461_*__TI_I_4,,,,6_N_513___,6_N_513_____1_IT_1,6_461,6_461_*,6_461_
6010,6,334282,014,14,2,1,461,*,,29,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20051117,20051119,,295.7557,13.36,6,_,,,6__14_____2_IT_1_6_461_*__TI_I_29,,,,6__14___,6__14_____2_IT_1,6_461,6_461_*,6_461_
6011,6,335182,514,N14,1,1,461,*,,4,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20060712,20041016,,295.756,30,6,_,,,6_N_514_____1_IT_1_6_461_*__TI_I_4,,,,6_N_514___,6_N_514_____1_IT_1,6_461,6_461_*,6_461_
6012,6,340803,509,N9,1,1,461,*,,4,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20090706,20090518,,295.756,30,6,_,,,6_N_509_____1_IT_1_6_461_*__TI_I_4,,,,6_N_509___,6_N_509_____1_IT_1,6_461,6_461_*,6_461_
6013,6,342047,027,27,2,1,461,*,,24,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20100412,20091110,,295.756,30,6,_,,,6__27_____2_IT_1_6_461_*__TI_I_24,,,,6__27___,6__27_____2_IT_1,6_461,6_461_*,6_461_
6014,6,342573,512,N12,1,1,461,*,,4,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20100702,20100621,,295.756,30,6,_,,,6_N_512_____1_IT_1_6_461_*__TI_I_4,,,,6_N_512___,6_N_512_____1_IT_1,6_461,6_461_*,6_461_
6015,6,346655,010,10,1,1,461,*,,4,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20120201,20120109,,295.7557,13.36,6,_,,,6__10_A____1_IT_1_6_461_*__TI_I_4,,,,6__10_A__,6__10_A____1_IT_1,6_461,6_461_*,6_461_
6016,6,347038,037,37,1,1,461,*,,17,TI,I,Pº PRADO-ATOCHA,28,079,MADRID,A,Paseo del Prado N 48,20120302,20111221,,295.756,30,6,_,,,6__37_____1_IT_1_6_461_*__TI_I_17,,,,6__37___,6__37_____1_IT_1,6_461,6_461_*,6_461_
